
Abundancia relativa do DBE na Classe Heteroatomica NO
Intensidade total da classe: 466771.000000
DBE	Int. Relativa
7	0.036557
8	0.067964
9	0.088965
10	0.108568
11	0.143667
12	0.126135
13	0.108123
14	0.101540
15	0.084491
16	0.065803
17	0.037581
18	0.022626

Distribuicao da quantidade de carbonos no DBE7
Num. C	Total
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	1426.359375
21	2165.554199
22	2584.849121
23	4628.135742
24	6579.786621
25	9003.674805
26	10083.284180
27	16086.294922
28	18362.730469
29	22666.109375
30	24609.408203
31	25309.027344
32	27105.564453
33	23649.408203
34	23347.791016
35	23383.576172
36	24119.726562
37	24012.277344
38	26081.234375
39	28389.070312
40	31759.638672
41	23502.058594
42	19942.582031
43	17391.666016
44	15298.708008
45	13113.530273
46	11663.757812
47	9160.480469
48	7315.613281
49	6344.910156
50	4094.068359
51	3840.695801
52	3289.406494
53	3458.835693
54	1809.929321
55	1467.549927
56	1289.563599
57	0.000000
58	0.000000
59	0.000000
60	0.000000
