Class	Mol. Formula	C	H	N	DBE	Intensity
NO	C21H27NO	21	27	1	9	1271.196899
NO	C21H29NO	21	29	1	8	1379.880493
NO	C22H25NO	22	25	1	11	1579.099365
NO	C22H27NO	22	27	1	10	1351.093506
NO	C22H29NO	22	29	1	9	1800.901489
NO	C22H31NO	22	31	1	8	1291.989136
NO	C23H25NO	23	25	1	12	1201.719238
NO	C23H27NO	23	27	1	11	1595.687744
NO	C23H29NO	23	29	1	10	1230.905151
NO	C23H31NO	23	31	1	9	1932.965942
NO	C24H27NO	24	27	1	12	1312.089478
NO	C24H29NO	24	29	1	11	1768.611938
NO	C24H31NO	24	31	1	10	1376.775757
NO	C24H33NO	24	33	1	9	2084.768555
NO	C25H29NO	25	29	1	12	1650.886841
NO	C25H31NO	25	31	1	11	1726.291382
NO	C25H33NO	25	33	1	10	1531.271240
NO	C25H35NO	25	35	1	9	1954.426514
NO	C25H37NO	25	37	1	8	1561.584717
NO	C26H27NO	26	27	1	14	1208.833252
NO	C25H39NO	25	39	1	7	1162.421387
NO	C26H29NO	26	29	1	13	1397.292480
NO	C26H31NO	26	31	1	12	2128.086914
NO	C26H33NO	26	33	1	11	2165.859863
NO	C26H35NO	26	35	1	10	1742.764160
NO	C26H37NO	26	37	1	9	1695.480713
NO	C26H39NO	26	39	1	8	1373.312500
NO	C27H31NO	27	31	1	13	1496.477905
NO	C27H33NO	27	33	1	12	1976.475342
NO	C27H35NO	27	35	1	11	1693.631226
NO	C27H37NO	27	37	1	10	2292.527100
NO	C27H39NO	27	39	1	9	1816.383545
NO	C27H41NO	27	41	1	8	1607.377686
NO	C28H31NO	28	31	1	14	1444.529297
NO	C27H43NO	27	43	1	7	1262.656372
NO	C28H33NO	28	33	1	13	1502.927368
NO	C28H35NO	28	35	1	12	2062.686035
NO	C28H37NO	28	37	1	11	2065.527832
NO	C28H39NO	28	39	1	10	2700.764648
NO	C28H41NO	28	41	1	9	2078.112305
NO	C28H43NO	28	43	1	8	1792.683716
NO	C29H33NO	29	33	1	14	1372.074341
NO	C28H45NO	28	45	1	7	1306.828857
NO	C29H35NO	29	35	1	13	2009.855225
