Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
OS2	427,212817	427,2131171	427,213482	0,854223951	C26H36OS2	1466,173218
OS2	439,212819	439,2130833	439,213482	0,907733368	C27H36OS2	2007,714355
OS2	441,228404	441,2286965	441,229132	0,986904949	C27H38OS2	1627,313232
OS2	443,150145	443,1504592	443,150882	0,954029945	C28H28OS2	1388,238159
OS2	443,244128	443,2444571	443,244782	0,733092521	C27H40OS2	1238,426636
OS2	445,165803	445,1661154	445,166532	0,935756542	C28H30OS2	1421,200195
OS2	445,259742	445,2600729	445,260432	0,806390354	C27H42OS2	1232,382935
OS2	447,18141	447,1817365	447,182182	0,996262868	C28H32OS2	1288,091431
OS2	457,165846	457,1661543	457,166532	0,826150206	C29H30OS2	1573,745483
OS2	457,259853	457,2601588	457,260432	0,597563423	C28H42OS2	1606,152588
OS2	461,291062	461,2913803	461,291732	0,762420363	C28H46OS2	1499,797974
OS2	465,228424	465,2287145	465,229132	0,897323335	C29H38OS2	1916,087646
OS2	467,24407	467,2443334	467,244782	0,960078417	C29H40OS2	2403,458984
OS2	469,165913	469,1662367	469,166532	0,629379307	C30H30OS2	1531,329956
OS2	471,181606	471,1819413	471,182182	0,510741249	C30H32OS2	1424,425659
OS2	471,275413	471,275698	471,276082	0,814874468	C29H44OS2	2105,150635
OS2	473,197064	473,1973974	473,197832	0,918498126	C30H34OS2	1472,862061
OS2	473,290997	473,2912771	473,291732	0,961073262	C29H46OS2	2225,752686
OS2	475,21274	475,2130514	475,213482	0,90606767	C30H36OS2	1778,343994
OS2	475,306791	475,3070649	475,307382	0,667213096	C29H48OS2	2380,962158
OS2	477,22842	477,2287095	477,229132	0,88530237	C30H38OS2	2148,556641
OS2	483,275386	483,2756361	483,276082	0,922725924	C30H44OS2	3104,871338
OS2	485,291004	485,2912684	485,291732	0,955223685	C30H46OS2	2838,317383
OS2	487,212779	487,2131146	487,213482	0,754104538	C31H36OS2	1670,556641
OS2	489,228463	489,2287734	489,229132	0,733011739	C31H38OS2	2077,719482
OS2	489,322344	489,3225994	489,323032	0,88403465	C30H50OS2	3186,850098
OS2	491,244087	491,2444095	491,244782	0,758379466	C31H40OS2	1937,746094
OS2	491,338011	491,3383119	491,338682	0,753226334	C30H52OS2	2292,238037
OS2	495,275427	495,2757316	495,276082	0,707495189	C31H44OS2	2337,468994
OS2	497,197142	497,1975055	497,197832	0,656635259	C32H34OS2	1517,638794
OS2	497,29111	497,2913792	497,291732	0,709349601	C31H46OS2	3155,538574
OS2	499,21268	499,2130328	499,213482	0,899859798	C32H36OS2	1692,63501
OS2	499,306657	499,3069294	499,307382	0,906480679	C31H48OS2	3161,195557
OS2	503,338058	503,3383497	503,338682	0,660132762	C31H52OS2	2871,523926
OS2	505,353908	505,3542745	505,354332	0,113701675	C31H54OS2	1653,631348
OS2	507,275289	507,2756007	507,276082	0,94881216	C32H44OS2	2599,03125
OS2	509,291049	509,2913588	509,291732	0,732837181	C32H46OS2	2716,246338
OS2	511,212864	511,213276	511,213483	0,404877974	C33H36OS2	1266,190186
OS2	511,306663	511,306938	511,307383	0,870314766	C32H48OS2	3667,931396
OS2	513,322335	513,3226583	513,323033	0,729944921	C32H50OS2	2597,308105
OS2	515,244201	515,2445715	515,244783	0,410422616	C33H40OS2	1855,141113
OS2	515,337877	515,3381885	515,338683	0,959510576	C32H52OS2	2935,879395
OS2	517,353503	517,3538658	517,354333	0,902961982	C32H54OS2	2034,98999
OS2	523,306546	523,3068716	523,307383	0,977330621	C33H48OS2	2994,886475
OS2	525,22843	525,2288199	525,229132	0,594276521	C34H38OS2	1878,626709
OS2	525,32243	525,322745	525,323033	0,548158375	C33H50OS2	3363,17041
OS2	527,244024	527,2444346	527,244783	0,660856472	C34H40OS2	1656,898315
OS2	527,337904	527,3382377	527,338683	0,844510068	C33H52OS2	3012,66333
OS2	529,353629	529,353985	529,354333	0,65745279	C33H54OS2	2624,249512
OS2	531,275392	531,2757815	531,276083	0,567560376	C34H44OS2	2094,382568
OS2	531,369431	531,3698188	531,369982	0,307186315	C33H56OS2	2125,706543
OS2	533,384706	533,3851597	533,385633	0,887400137	C33H58OS2	1324,071289
OS2	535,306832	535,3072266	535,307383	0,292184736	C34H48OS2	2166,436523
OS2	537,322412	537,3227684	537,323033	0,49238305	C34H50OS2	3025,282959
OS2	539,244014	539,244441	539,244783	0,634239922	C35H40OS2	1815,401367
OS2	539,337812	539,338167	539,338683	0,956638338	C34H52OS2	3177,798584
OS2	541,259687	541,2601168	541,260432	0,582322689	C35H42OS2	1846,498657
OS2	541,353744	541,3541605	541,354333	0,318651954	C34H54OS2	2050,782959
OS2	543,27529	543,2757153	543,276083	0,676785455	C35H44OS2	1988,797363
OS2	543,369155	543,3695591	543,369982	0,778285511	C34H56OS2	2348,542725
OS2	545,291104	545,2915634	545,291733	0,311002547	C35H46OS2	1590,020508
OS2	545,384766	545,3852119	545,385633	0,772062787	C34H58OS2	1768,143066
OS2	547,306511	547,3069215	547,307383	0,843265875	C35H48OS2	2419,127686
OS2	549,228602	549,229105	549,229132	0,049115476	C36H38OS2	1229,527344
OS2	549,322251	549,3226488	549,323033	0,699333076	C35H50OS2	2781,177002
OS2	551,243827	551,244332	551,244783	0,818085895	C36H40OS2	1262,209717
OS2	553,259527	553,2600244	553,260432	0,736692052	C36H42OS2	1396,67627
OS2	553,353628	553,3540198	553,354333	0,566018769	C35H54OS2	3172,92041
OS2	555,275549	555,2760408	555,276083	0,075931493	C36H44OS2	1522,348389
OS2	555,369404	555,3698388	555,369982	0,257816311	C35H56OS2	2372,018066
OS2	557,290799	557,2912777	557,291733	0,816933296	C36H46OS2	1759,939697
OS2	557,384866	557,3853391	557,385633	0,52731713	C35H58OS2	1842,362427
OS2	559,306519	559,3069805	559,307383	0,719601831	C36H48OS2	2101,89502
OS2	559,400794	559,4012639	559,401282	0,032310884	C35H60OS2	1973,549316
OS2	561,322085	561,3225471	561,323033	0,865561197	C36H50OS2	2188,049316
OS2	563,244129	563,2446677	563,244783	0,204750407	C37H40OS2	1264,098755
OS2	563,337813	563,3382541	563,338683	0,76128312	C36H52OS2	2695,432373
OS2	565,25968	565,2602053	565,260432	0,401031735	C37H42OS2	1467,60022
OS2	565,353552	565,3539784	565,354333	0,627270855	C36H54OS2	3166,69165
OS2	567,275577	567,2760961	567,276083	-0,023060333	C37H44OS2	1613,619995
OS2	567,369146	567,3695584	567,369982	0,746569671	C36H56OS2	3700,095947
OS2	569,291183	569,2916888	569,291733	0,077573884	C37H46OS2	1874,358887
OS2	569,384927	569,3854241	569,385633	0,36689789	C36H58OS2	2010,111572
OS2	571,30683	571,3073251	571,307383	0,101431035	C37H48OS2	2137,810303
OS2	571,400745	571,401239	571,401282	0,075306301	C36H60OS2	2160,666748
OS2	573,322368	573,3228629	573,323033	0,296654461	C37H50OS2	2246,598389
OS2	573,416449	573,4169659	573,416933	-0,057458325	C36H62OS2	1898,509277
OS2	575,338144	575,3386779	575,338683	0,008783247	C37H52OS2	1744,376343
OS2	575,431885	575,4324393	575,432583	0,249713879	C36H64OS2	1493,684814
OS2	577,259644	577,2602195	577,260433	0,369798608	C38H42OS2	1326,19812
OS2	577,353507	577,3539987	577,354333	0,579084573	C37H54OS2	2544,286133
OS2	579,275304	579,2758466	579,276083	0,408046931	C38H44OS2	1798,599365
OS2	579,369316	579,369787	579,369983	0,338327456	C37H56OS2	3142,783691
OS2	581,291276	581,29187	581,291733	-0,235655961	C38H46OS2	1272,414551
