Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	214,066205	NaN	214,066223	0,084086129	C16H9N		996,112061
N	216,081907	NaN	216,081873	-0,157347766	C16H11N		4795,956055
N	230,097575	NaN	230,097523	-0,225991133	C17H13N		6217,625488
N	240,081869	NaN	240,081873	0,016660983	C18H11N		1290,681885
N	242,0975	NaN	242,097523	0,095003037	C18H13N		1934,119995
N	244,113241	NaN	244,113173	-0,278559322	C18H15N		3649,575195
N	254,097564	NaN	254,097523	-0,161355371	C19H13N		1591,885986
N	256,113247	NaN	256,113172	-0,292839292	C19H15N		2984,160645
N	258,128877	NaN	258,128822	-0,213071906	C19H17N		1583,859497
N	264,081925	NaN	264,081872	-0,200695336	C20H11N		3692,066406
N	266,097599	NaN	266,097522	-0,289367595	C20H13N		43327,12891
N	268,113256	NaN	268,113172	-0,313300534	C20H15N		1645,066406
N	270,128853	NaN	270,128822	-0,114760061	C20H17N		2177,4021
N	272,144479	NaN	272,144473	-0,022047113	C20H19N		811,979065
N	278,097576	NaN	278,097522	-0,194176487	C21H13N		1864,144409
N	280,113232	NaN	280,113172	-0,214199138	C21H15N		60990,92969
N	282,12891	NaN	282,128822	-0,31191425	C21H17N		1550,057861
N	284,144588	NaN	284,144473	-0,404723691	C21H19N		1126,067871
N	290,097568	NaN	290,097522	-0,158567366	C22H13N		13264,66992
N	292,113207	NaN	292,113172	-0,119816576	C22H15N		9718,197266
N	294,128886	NaN	294,128822	-0,217591733	C22H17N		35484,98828
N	296,144421	NaN	296,144473	0,175589973	C22H19N		1184,494019
N	298,160173	NaN	298,160123	-0,167695128	C22H21N		822,34314
N	304,113135	NaN	304,113172	0,121665233	C23H15N		19752,45703
N	306,128921	NaN	306,128822	-0,323393267	C23H17N		13802,33398
N	308,144577	NaN	308,144473	-0,337504025	C23H19N		13142,35742
N	314,097617	NaN	314,097522	-0,302453835	C24H13N		2678,70166
N	316,113234	NaN	316,113172	-0,196132289	C24H15N		64825,34375
N	318,128833	NaN	318,128822	-0,034577188	C24H17N		19984,61914
N	320,144538	NaN	320,144473	-0,203033335	C24H19N		11928,16895
N	322,160175	NaN	322,160123	-0,161410418	C24H21N		6135,885742
N	324,175732	NaN	324,175772	0,12338985	C24H23N		894,221191
N	328,113196	NaN	328,113172	-0,073145494	C25H15N		2860,732178
N	330,128906	NaN	330,128822	-0,254446126	C25H17N		103530,2813
N	332,144478	NaN	332,144473	-0,01505369	C25H19N		12967,36914
N	334,160126	NaN	334,160123	-0,008977732	C25H21N		7253,357422
N	336,175744	NaN	336,175772	0,083289762	C25H23N		3520,939941
N	340,113117	NaN	340,113172	0,161710879	C26H15N		25524,14648
N	342,128911	NaN	342,128822	-0,260135932	C26H17N		20137,72656
N	344,144531	NaN	344,144473	-0,16853387	C26H19N		71919,39844
N	346,16009	NaN	346,160123	0,095331605	C26H21N		7122,898438
N	348,175717	NaN	348,175772	0,157966189	C26H23N		4324,789063
N	350,191371	NaN	350,191422	0,145634635	C26H25N		1823,968384
N	354,128806	NaN	354,128822	0,045181299	C27H17N		51005,91797
N	356,144454	NaN	356,144473	0,053349136	C27H19N		36344,42578
N	358,160063	NaN	358,160123	0,167522837	C27H21N		26784,86523
N	360,17583	NaN	360,175772	-0,161032486	C27H23N		4680,148926
N	362,191374	NaN	362,191422	0,132526606	C27H25N		3069,512695
N	364,113133	NaN	364,113172	0,107109556	C28H15N		2525,838623
N	364,207105	NaN	364,207072	-0,090607796	C27H27N		1335,73584
N	366,128856	NaN	366,128822	-0,092863489	C28H17N		29224,82422
N	368,144447	NaN	368,144473	0,070624447	C28H19N		52052,51172
N	370,160152	NaN	370,160123	-0,078344474	C28H21N		32232,72266
N	372,175819	NaN	372,175772	-0,126284416	C28H23N		12298,5625
N	374,191508	NaN	374,191422	-0,229828892	C28H25N		3216,405762
N	376,207075	NaN	376,207072	-0,007974332	C28H27N		2220,692383
N	378,12883	NaN	378,128822	-0,021156811	C29H17N		5889,615234
N	378,222812	NaN	378,222722	-0,237955032	C28H29N		1092,052246
N	380,144481	NaN	380,144473	-0,021044631	C29H19N		59893,80859
N	382,160064	NaN	382,160123	0,154385548	C29H21N		38267,37109
N	384,175903	NaN	384,175772	-0,340989749	C29H23N		18841,88281
N	386,191441	NaN	386,191422	-0,0491984	C29H25N		7760,216309
N	388,207017	NaN	388,207072	0,141676966	C29H27N		2461,986816
N	390,128942	NaN	390,128822	-0,307590706	C30H17N		13783,4707
N	390,222759	NaN	390,222722	-0,094817646	C29H29N		1797,946167
N	392,144486	NaN	392,144473	-0,033151047	C30H19N		20564,4082
N	392,238344	NaN	392,238372	0,071385163	C29H31N		1017,017212
N	394,160028	NaN	394,160123	0,2410188	C30H21N		50865,92188
N	396,175718	NaN	396,175772	0,136303136	C30H23N		20661,46094
N	398,191483	NaN	398,191422	-0,153192652	C30H25N		10938,64258
N	400,207007	NaN	400,207072	0,162415921	C30H27N		4691,55957
N	402,222707	NaN	402,222722	0,037292771	C30H29N		1907,376953
N	404,144524	NaN	404,144473	-0,126192496	C31H19N		32544,11133
N	404,238276	NaN	404,238372	0,23748364	C30H31N		1217,236572
N	406,160215	NaN	406,160123	-0,226511651	C31H21N		35328,32813
N	406,253905	NaN	406,254022	0,287997149	C30H33N		958,493042
N	408,175678	NaN	408,175772	0,230292943	C31H23N		28574,2168
N	410,191371	NaN	410,191422	0,124332195	C31H25N		12008,82715
N	412,207003	NaN	412,207072	0,167391597	C31H27N		6586,371094
N	414,12877	NaN	414,128822	0,125564794	C32H17N		1652,330933
N	414,222795	NaN	414,222722	-0,176233693	C31H29N		3439,159668
N	416,144568	NaN	416,144473	-0,228286103	C32H19N		9332,183594
N	416,238462	NaN	416,238372	-0,216222256	C31H31N		1518,068115
N	418,160229	NaN	418,160123	-0,253491412	C32H21N		34299,40625
N	418,253975	NaN	418,254022	0,112371902	C31H33N		1053,733398
N	420,175728	NaN	420,175772	0,10471808	C32H23N		32345,28906
N	422,191317	NaN	422,191422	0,248702353	C32H25N		15502,05566
N	424,206991	NaN	424,207072	0,190944483	C32H27N		7383,30127
N	426,222748	NaN	426,222722	-0,061000971	C32H29N		4338,848145
N	428,144482	NaN	428,144473	-0,021020942	C33H19N		4465,155762
N	428,238316	NaN	428,238372	0,130768291	C32H31N		2470,37915
N	430,160097	NaN	430,160123	0,060442609	C33H21N		23233,94727
N	430,253976	NaN	430,254022	0,106913585	C32H33N		1113,424438
N	432,175831	NaN	432,175772	-0,136518528	C33H23N		26686,38672
N	432,269743	NaN	432,269672	-0,164249321	C32H35N		938,243286
N	434,191419	NaN	434,191422	0,006909395	C33H25N		19484,97656
N	436,207169	NaN	436,207072	-0,222371452	C33H27N		8911,751953
N	438,222821	NaN	438,222722	-0,225912521	C33H29N		4862,833496
N	440,144519	NaN	440,144473	-0,104511139	C34H19N		3817,847656
N	440,238405	NaN	440,238372	-0,07495939	C33H31N		3172,737305
N	442,160098	NaN	442,160123	0,056540603	C34H21N		9830,473633
N	442,253958	NaN	442,254022	0,144713212	C33H33N		2125,868408
N	444,175701	NaN	444,175772	0,159846629	C34H23N		24504,67969
N	444,269821	NaN	444,269672	-0,335381885	C33H35N		938,494934
N	446,191375	NaN	446,191422	0,105335956	C34H25N		16992,08203
N	448,207175	NaN	448,207072	-0,229804495	C34H27N		10611,49414
N	450,222857	NaN	450,222722	-0,299851592	C34H29N		5674,734863
N	452,238478	NaN	452,238372	-0,234389664	C34H31N		2911,930664
N	454,160081	NaN	454,160123	0,092478397	C35H21N		8322,630859
N	454,254106	NaN	454,254022	-0,184918561	C34H33N		1884,138916
N	456,175897	NaN	456,175772	-0,274017183	C35H23N		14229,92676
N	456,269813	NaN	456,269672	-0,309027772	C34H35N		1419,822144
N	458,191568	NaN	458,191422	-0,318644115	C35H25N		17968,11914
N	460,207173	NaN	460,207072	-0,219466423	C35H27N		10975,42383
N	462,222796	NaN	462,222722	-0,160095981	C35H29N		6081,261719
N	464,23853	NaN	464,238372	-0,340342396	C35H31N		3496,635498
N	466,160025	NaN	466,160123	0,210228192	C36H21N		2710,731445
N	466,253818	NaN	466,254022	0,437529738	C35H33N		2211,10791
N	468,175803	NaN	468,175772	-0,066214447	C36H23N		9566,611328
N	468,269745	NaN	468,269672	-0,155893077	C35H35N		1656,955811
N	470,191348	NaN	470,191422	0,15738271	C36H25N		13110,58106
N	470,285097	NaN	470,285323	0,480559331	C35H37N		1210,472046
N	472,207103	NaN	472,207072	-0,065649165	C36H27N		11456,89844
N	474,22285	NaN	474,222722	-0,269915367	C36H29N		6683,023438
N	476,238364	NaN	476,238372	0,01679831	C36H31N		3697,011963
N	478,160278	NaN	478,160123	-0,324159194	C37H21N		1299,648071
N	478,254114	NaN	478,254022	-0,192366391	C36H33N		2339,772461
N	480,175606	NaN	480,175772	0,345706738	C37H23N		5760,994629
N	480,269537	NaN	480,269672	0,281092078	C36H35N		1513,308472
N	482,191448	NaN	482,191422	-0,053920495	C37H25N		9246,490234
N	482,285112	NaN	482,285323	0,437500355	C36H37N		1311,143188
N	484,207246	NaN	484,207072	-0,35935039	C37H27N		8738,494141
N	484,300985	NaN	484,300973	-0,02477798	C36H39N		883,896423
N	486,222786	NaN	486,222722	-0,131626921	C37H29N		6355,80127
N	488,238211	NaN	488,238372	0,329756957	C37H31N		4015,043457
N	490,254036	NaN	490,254022	-0,028556624	C37H33N		2449,035889
N	492,175783	NaN	492,175772	-0,022349739	C38H23N		2421,772461
N	492,269697	NaN	492,269672	-0,050785172	C37H35N		2056,163818
N	494,191408	NaN	494,191422	0,028329104	C38H25N		7612,229492
N	494,285354	NaN	494,285323	-0,062716813	C37H37N		1357,539551
N	496,207207	NaN	496,207072	-0,272063837	C38H27N		6686,273438
N	496,300801	NaN	496,300973	0,346563898	C37H39N		999,145996
N	498,222603	NaN	498,222722	0,238849002	C38H29N		5676,431152
N	500,238524	NaN	500,238372	-0,303855139	C38H31N		3860,762695
N	502,254018	NaN	502,254022	0,007964098	C38H33N		2607,347168
N	504,175717	NaN	504,175772	0,109088939	C39H23N		1380,638428
N	504,269647	NaN	504,269672	0,049576648	C38H35N		1695,832275
N	506,191312	NaN	506,191422	0,217309095	C39H25N		3668,937012
N	506,285218	NaN	506,285323	0,207392937	C38H37N		1381,459473
N	508,207053	NaN	508,207072	0,037386335	C39H27N		6269,282715
N	508,300926	NaN	508,300973	0,092464903	C38H39N		1162,570923
N	510,22275	NaN	510,222722	-0,054877995	C39H29N		5127,797852
N	512,238212	NaN	512,238372	0,312354577	C39H31N		3540,424072
N	514,254042	NaN	514,254023	-0,036946721	C39H33N		2685,707031
N	516,269657	NaN	516,269672	0,029054583	C39H35N		1874,54541
N	518,191334	NaN	518,191423	0,171751202	C40H25N		2000,599365
N	518,285272	NaN	518,285323	0,098401397	C39H37N		1410,336792
N	520,20685	NaN	520,207072	0,426753137	C40H27N		3782,260742
N	520,30111	NaN	520,300973	-0,263309137	C39H39N		1044,010864
N	522,222827	NaN	522,222723	-0,199148745	C40H29N		4098,948242
N	522,31658	NaN	522,316622	0,080410996	C39H41N		826,009949
N	524,238261	NaN	524,238372	0,211735741	C40H31N		3325,399658
N	526,253795	NaN	526,254023	0,433250845	C40H33N		2467,51001
N	528,269676	NaN	528,269672	-0,00757189	C40H35N		1641,599121
N	530,191224	NaN	530,191422	0,373450025	C41H25N		1118,169312
N	530,285305	NaN	530,285323	0,03394399	C40H37N		1327,35437
N	532,20699	NaN	532,207072	0,154075367	C41H27N		2498,45166
N	532,30093	NaN	532,300972	0,07890273	C40H39N		924,516357
N	534,222584	NaN	534,222723	0,260191104	C41H29N		3156,826416
N	534,316373	NaN	534,316622	0,466015822	C40H41N		847,894897
N	536,238265	NaN	536,238372	0,199538126	C41H31N		2833,558594
N	538,25386	NaN	538,254023	0,302830992	C41H33N		2051,791992
N	540,269637	NaN	540,269672	0,064782463	C41H35N		1725,855591
N	542,285429	NaN	542,285323	-0,195469056	C41H37N		1328,581787
N	544,206881	NaN	544,207072	0,350969346	C42H27N		1486,043701
N	544,301068	NaN	544,300972	-0,176373009	C41H39N		1021,516602
N	546,22285	NaN	546,222723	-0,232505889	C42H29N		2179,405029
N	548,238337	NaN	548,238372	0,063840843	C42H31N		2404,446289
N	550,254082	NaN	550,254023	-0,107223205	C42H33N		1860,010986
N	552,269464	NaN	552,269672	0,376627598	C42H35N		1373,117432
N	554,285242	NaN	554,285323	0,146134124	C42H37N		1173,50061
N	556,207093	NaN	556,207072	-0,037755723	C43H27N		840,538391
N	556,300795	NaN	556,300972	0,318173091	C42H39N		917,89325
N	558,222517	NaN	558,222723	0,369028331	C43H29N		1734,056396
N	560,238342	NaN	560,238372	0,053548635	C43H31N		1607,791992
N	562,253939	NaN	562,254023	0,149398664	C43H33N		1504,328979
N	564,269629	NaN	564,269672	0,076204698	C43H35N		1286,677612
N	566,285256	NaN	566,285323	0,118314915	C43H37N		970,907959
N	568,301153	NaN	568,300972	-0,318493209	C43H39N		836,54126
N	570,222628	NaN	570,222723	0,166601568	C44H29N		1032,154419
N	572,238442	NaN	572,238372	-0,122326645	C44H31N		1574,356201
N	574,254079	NaN	574,254023	-0,097517819	C44H33N		1364,69812
N	576,269887	NaN	576,269672	-0,373089216	C44H35N		1154,164063
N	578,285212	NaN	578,285323	0,19194677	C44H37N		1030,875
N	582,222398	NaN	582,222723	0,558205627	C45H29N		888,450806
N	584,238297	NaN	584,238372	0,12837226	C45H31N		965,19635
N	586,254153	NaN	586,254023	-0,221746879	C45H33N		1248,006592
N	588,26982	NaN	588,269672	-0,251585297	C45H35N		985,348022
N	598,253898	NaN	598,254023	0,208941344	C46H33N		1038,477295
NO	218,06117	NaN	218,061138	-0,146747835	C15H9NO		823,189819
NO	232,076851	NaN	232,076787	-0,275770795	C16H11NO	1417,777832
NO	234,092466	NaN	234,092437	-0,123882687	C16H13NO	938,221619
NO	244,076794	NaN	244,076787	-0,028679499	C17H11NO	2684,685547
NO	246,092477	NaN	246,092437	-0,16254055	C17H13NO	1277,542969
NO	248,108078	NaN	248,108088	0,040305014	C17H15NO	1064,064209
NO	258,092461	NaN	258,092437	-0,092989939	C18H13NO	4215,62207
NO	260,108139	NaN	260,108087	-0,199916891	C18H15NO	825,780396
NO	268,076798	NaN	268,076787	-0,041033019	C19H11NO	14238,75684
NO	270,092508	NaN	270,092437	-0,262872966	C19H13NO	2545,437012
NO	272,10815	NaN	272,108087	-0,231525644	C19H15NO	3125,59668
NO	282,092518	NaN	282,092437	-0,287139921	C20H13NO	29763,7168
NO	284,108162	NaN	284,108087	-0,263984038	C20H15NO	5571,704102
NO	286,123809	NaN	286,123737	-0,251639381	C20H17NO	1644,109619
NO	292,076776	NaN	292,076787	0,037661329	C21H11NO	1902,388184
NO	294,092475	NaN	294,092437	-0,129211075	C21H13NO	6974,621094
NO	296,108173	NaN	296,108087	-0,290434486	C21H15NO	25010,05859
NO	298,123699	NaN	298,123737	0,127463852	C21H17NO	4736,152344
NO	300,139433	NaN	300,139388	-0,149930338	C21H19NO	1024,755859
NO	306,092458	NaN	306,092437	-0,068606726	C22H13NO	3626,221436
NO	308,108063	NaN	308,108087	0,077894742	C22H15NO	11580,27148
NO	310,123738	NaN	310,123737	-0,003224519	C22H17NO	12921,44336
NO	312,139404	NaN	312,139388	-0,051259151	C22H19NO	2590,049316
NO	318,092519	NaN	318,092437	-0,257786701	C23H13NO	25299,25
NO	320,108073	NaN	320,108087	0,043735228	C23H15NO	7959,436523
NO	322,12372	NaN	322,123737	0,052774751	C23H17NO	11210,53809
NO	324,139457	NaN	324,139388	-0,212871384	C23H19NO	7334,426758
NO	326,155128	NaN	326,155037	-0,279008415	C23H21NO	1590,466553
NO	330,092441	NaN	330,092437	-0,012117818	C24H13NO	1151,182983
NO	332,108067	NaN	332,108087	0,060221358	C24H15NO	57780,26563
NO	334,123779	NaN	334,123737	-0,125701934	C24H17NO	13725,78906
NO	336,139471	NaN	336,139388	-0,246921375	C24H19NO	7701,138184
NO	338,155043	NaN	338,155037	-0,017743341	C24H21NO	4666,352539
NO	340,170752	NaN	340,170687	-0,191080544	C24H23NO	1130,508545
NO	342,092404	NaN	342,092437	0,096465155	C25H13NO	3743,116455
NO	344,108131	NaN	344,108087	-0,1278668	C25H15NO	12807,72461
NO	346,123806	NaN	346,123737	-0,199350673	C25H17NO	53820,53906
NO	348,139377	NaN	348,139388	0,03159654	C25H19NO	13111,7666
NO	352,170771	NaN	352,170687	-0,238520703	C25H23NO	2731,614746
NO	354,18635	NaN	354,186337	-0,036703844	C25H25NO	836,954529
NO	356,108159	NaN	356,108087	-0,202185804	C26H15NO	7454,514648
NO	358,123745	NaN	358,123737	-0,022338648	C26H17NO	25826,61133
NO	360,139495	NaN	360,139388	-0,297107186	C26H19NO	28661,46094
NO	362,155028	NaN	362,155037	0,024851235	C26H21NO	8185,879883
NO	364,170756	NaN	364,170687	-0,189471592	C26H23NO	3425,409912
NO	366,186306	NaN	366,186337	0,084656353	C26H25NO	1562,279907
NO	368,108127	NaN	368,108087	-0,108663736	C27H15NO	18487,60938
NO	370,123849	NaN	370,123737	-0,302601505	C27H17NO	13530,40137
NO	372,139329	NaN	372,139388	0,158542745	C27H19NO	27348,43359
NO	374,155046	NaN	374,155037	-0,0240542	C27H21NO	16013,65918
NO	376,170648	NaN	376,170687	0,10367634	C27H23NO	5082,411133
