Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	206,097521	NaN	206,097523	0,009704144	C15H13N		684,435852
N	216,081907	NaN	216,081873	-0,157347766	C16H11N		404,943787
N	220,113188	NaN	220,113173	-0,068146762	C16H15N		827,811157
N	230,097575	NaN	230,097523	-0,225991133	C17H13N		986,687927
N	232,113229	NaN	232,113173	-0,241261619	C17H15N		484,044647
N	234,128897	NaN	234,128823	-0,316065314	C17H17N		569,084961
N	242,0975	NaN	242,097523	0,095003037	C18H13N		848,175659
N	244,113241	NaN	244,113173	-0,278559322	C18H15N		2469,430664
N	246,128887	NaN	246,128823	-0,260026433	C18H17N		565,649719
N	248,144528	NaN	248,144473	-0,221645074	C18H19N		510,279938
N	256,113247	NaN	256,113172	-0,292839292	C19H15N		1782,504028
N	258,128877	NaN	258,128822	-0,213071906	C19H17N		2850,160156
N	260,14451	NaN	260,144472	-0,146072679	C19H19N		431,491699
N	262,160231	NaN	262,160122	-0,415776432	C19H21N		573,277161
N	264,175833	NaN	264,175772	-0,230906868	C19H23N		388,481384
N	266,097599	NaN	266,097522	-0,289367595	C20H13N		1108,665161
N	268,113147	NaN	268,113172	0,093244207	C20H15N		995,78479
N	270,128853	NaN	270,128822	-0,114760061	C20H17N		2007,604736
N	272,144479	NaN	272,144473	-0,022047113	C20H19N		2467,637695
N	274,160135	NaN	274,160123	-0,043770042	C20H21N		454,270782
N	276,175841	NaN	276,175772	-0,249840888	C20H23N		700,388123
N	278,191406	NaN	278,191422	0,057514354	C20H25N		481,450989
N	280,113232	NaN	280,113172	-0,214199138	C21H15N		3739,186279
N	282,12891	NaN	282,128822	-0,31191425	C21H17N		1457,735596
N	284,144465	NaN	284,144473	0,028154692	C21H19N		2030,016479
N	286,160134	NaN	286,160123	-0,038440017	C21H21N		1953,035645
N	288,175806	NaN	288,175772	-0,117983548	C21H23N		622,420837
N	290,191511	NaN	290,191422	-0,30669411	C21H25N		889,634094
N	292,113207	NaN	292,113172	-0,119816576	C22H15N		837,440369
N	292,207167	NaN	292,207072	-0,325111913	C21H27N		735,262878
N	294,128886	NaN	294,128822	-0,217591733	C22H17N		5723,474121
N	296,144554	NaN	296,144473	-0,27351515	C22H19N		1165,312378
N	298,160173	NaN	298,160123	-0,167695128	C22H21N		1893,125
N	300,175856	NaN	300,175772	-0,279836042	C22H23N		2187,047852
N	302,191459	NaN	302,191422	-0,122438949	C22H25N		803,308105
N	304,113275	NaN	304,113172	-0,338689703	C23H15N		742,383118
N	304,207128	NaN	304,207072	-0,184085135	C22H27N		1127,611938
N	306,128921	NaN	306,128822	-0,323393267	C23H17N		1734,519653
N	306,222745	NaN	306,222722	-0,075108731	C22H29N		1019,5177
N	308,144577	NaN	308,144473	-0,337504025	C23H19N		5568,860352
N	310,160149	NaN	310,160123	-0,083827669	C23H21N		1069,007324
N	312,175847	NaN	312,175772	-0,240249266	C23H23N		2230,327881
N	314,191457	NaN	314,191422	-0,111397058	C23H25N		2411,023193
N	316,113234	NaN	316,113172	-0,196132289	C24H15N		1703,372559
