
#Abundancia das classes heteroatomicas
#Intensidade total: 11619373.000000
#Classe	Int. Relativa (%)
O2	40.465324
O3	28.337959
O4	16.337046
O5	2.944669
OS2	4.415491
S2	7.499527


#Abundancia relativa do DBE na Classe Heteroatomica O2
#Intensidade total da classe: 4701817.000000
DBE	Int. Relativa (%)
1	30.241037
2	4.764778
3	1.707165
4	2.173463
5	8.339225
6	13.447803
7	17.279337
8	5.424817
9	4.533222
10	3.738735
11	2.693040
12	1.988142
13	1.467543
14	0.825988
15	0.449150
16	0.484561
17	0.347568
18	0.094408


#Abundancia relativa do DBE na Classe Heteroatomica O3
#Intensidade total da classe: 3292693.000000
DBE	Int. Relativa (%)
1	6.037263
2	12.613036
3	5.146075
4	3.609793
5	7.506108
6	11.776415
7	10.721699
8	8.464749
9	6.933594
10	6.238280
11	4.885880
12	4.147122
13	3.497164
14	2.397340
15	2.186556
16	1.485193
17	0.945079
18	0.833038
19	0.374589
20	0.201048


#Abundancia relativa do DBE na Classe Heteroatomica O4
#Intensidade total da classe: 1898262.250000
DBE	Int. Relativa (%)
1	0.087205
2	5.324753
3	3.391819
4	2.429319
5	6.835358
6	12.707816
7	14.946843
8	9.906130
9	7.400059
10	6.618631
11	6.382407
12	5.766871
13	4.545957
14	4.013328
15	2.701621
16	3.030808
17	1.792360
18	0.908923
19	0.827527
20	0.317228
21	0.065033


#Abundancia relativa do DBE na Classe Heteroatomica O5
#Intensidade total da classe: 342152.093750
DBE	Int. Relativa (%)
5	2.598883
6	11.176980
7	11.911515
8	14.791362
9	8.709539
10	10.235216
11	10.082257
12	5.621494
13	7.423473
14	5.337959
15	5.224722
16	0.782185
17	2.272216
18	1.713497
19	1.738117
20	0.380589


#Abundancia relativa do DBE na Classe Heteroatomica OS2
#Intensidade total da classe: 513052.312500
DBE	Int. Relativa (%)
5	10.730022
6	9.351018
7	7.783397
8	8.884655
9	10.818748
10	9.148699
11	7.990179
12	6.523942
13	6.624786
14	6.738012
15	6.062743
16	4.998713
17	2.864636
18	1.480429


#Abundancia relativa do DBE na Classe Heteroatomica S2
#Intensidade total da classe: 871398.000000
DBE	Int. Relativa (%)
2	0.303399
3	0.528986
4	2.444106
5	5.022339
6	10.066790
7	8.409013
8	9.324251
9	8.810762
10	8.302425
11	8.821080
12	6.865984
13	6.370082
14	6.244545
15	6.249923
16	4.998634
17	3.511423
18	2.277399
19	1.296227
20	0.152635


#Abundancia relativa do DBE na Classe Heteroatomica O2
#Intensidade total da classe: 4701817.000000
DBE	Int. Relativa (%)
1	30.241037
2	4.764778
3	1.707165
4	2.173463
5	8.339225
6	13.447803
7	17.279337
8	5.424817
9	4.533222
10	3.738735
11	2.693040
12	1.988142
13	1.467543
14	0.825988
15	0.449150
16	0.484561
17	0.347568
18	0.094408

Distribuicao da quantidade de carbonos no DBE1 da classe O2
Num. C	Intensidade
16	1251.170654
17	0.000000
18	22189.097656
19	22590.888672
20	35473.367188
21	44571.761719
22	86848.406250
23	71197.726562
24	155054.015625
25	89315.242188
