
#Abundancia das classes heteroatomicas
#Intensidade total: 8710929.000000
#Classe	Int. Relativa (%)
N	20.992447
NO	15.815487
NO2	8.267799
NO3	2.995489
O	3.658839
O2	21.349575
O3	13.612684
O4	7.226537
O4S	3.160002
O5	2.921070


#Abundancia relativa do DBE na Classe Heteroatomica N
#Intensidade total da classe: 1828637.125000
DBE	Int. Relativa (%)
12	0.932880
13	0.549054
14	0.446038
15	9.232532
16	3.438649
17	4.863070
18	16.589396
19	7.873851
20	12.126455
21	11.473749
22	7.820467
23	8.356482
24	5.648260
25	3.688388
26	2.761011
27	1.829959
28	1.060483
29	0.657152
30	0.391583
31	0.211981
32	0.048585


#Abundancia relativa do DBE na Classe Heteroatomica NO
#Intensidade total da classe: 1377675.875000
DBE	Int. Relativa (%)
11	0.145338
12	0.315335
13	0.921463
14	1.444271
15	7.664955
16	3.797408
17	4.985062
18	15.736617
19	9.355830
20	6.367220
21	12.969247
22	8.723202
23	7.386168
24	7.178350
25	4.357824
26	3.260627
27	1.905791
28	1.390175
29	0.830456
30	0.593510
31	0.343517
32	0.208065
33	0.119567


#Abundancia relativa do DBE na Classe Heteroatomica NO2
#Intensidade total da classe: 720202.125000
DBE	Int. Relativa (%)
13	1.022692
14	0.985407
15	2.599348
16	5.241645
17	5.575336
18	6.833942
19	11.692534
20	8.564241
21	11.524742
22	10.550551
23	8.258395
24	8.162150
25	5.726785
26	3.812832
27	2.941550
28	2.245688
29	1.470973
30	1.176796
31	0.659564
32	0.549129
33	0.405738


#Abundancia relativa do DBE na Classe Heteroatomica NO3
#Intensidade total da classe: 260934.953125
DBE	Int. Relativa (%)
2	0.621910
8	0.306054
16	1.956098
17	5.201178
18	6.823094
19	8.996119
20	9.745363
21	10.765187
22	10.809684
23	9.706465
24	8.616086
25	8.036819
26	5.465461
27	4.565643
28	3.067107
29	2.804353
30	1.565391
31	0.947996


#Abundancia relativa do DBE na Classe Heteroatomica O
#Intensidade total da classe: 318718.843750
DBE	Int. Relativa (%)
1	8.874259
2	2.607953
3	0.527606
4	4.489974
5	8.451592
6	4.916358
7	3.174049
8	2.027426
9	0.272346
10	0.966588
12	1.165452
13	2.114293
14	1.848040
15	4.298455
16	3.510488
17	4.187070
18	6.446521
19	5.351836
20	9.030667
21	6.543300
22	5.579710
23	4.550705
