
#Abundancia das classes heteroatomicas
#Intensidade total: 7457151.500000
#Classe	Int. Relativa (%)
N	21.638710
NO	3.624530
NO2	3.495488
O	14.309871
O2	52.843136
O3	2.236279
O4	1.851934


#Abundancia relativa do DBE na Classe Heteroatomica N
#Intensidade total da classe: 1613631.375000
DBE	Int. Relativa (%)
6	1.115480
7	1.130785
8	0.246789
9	7.968999
10	6.393746
11	4.444485
12	12.279219
13	9.721786
14	8.057971
15	11.662071
16	8.396381
17	7.516524
18	7.057316
19	4.604629
20	3.545922
21	2.732870
22	1.632870
23	1.088980
24	0.352872
32	0.050307


#Abundancia relativa do DBE na Classe Heteroatomica NO
#Intensidade total da classe: 270286.718750
DBE	Int. Relativa (%)
10	1.905748
11	2.909813
12	3.380467
13	12.694526
14	15.047202
15	12.689384
16	12.683389
17	12.200109
18	11.538818
19	7.770975
20	5.038898
21	2.140689


#Abundancia relativa do DBE na Classe Heteroatomica NO2
#Intensidade total da classe: 260663.828125
DBE	Int. Relativa (%)
7	5.567690
8	5.934656
9	4.315433
10	11.288882
11	12.620640
12	11.886585
13	11.096972
14	11.066446
15	10.224465
16	7.377581
17	4.999374
18	2.557711
19	1.063560


#Abundancia relativa do DBE na Classe Heteroatomica O
#Intensidade total da classe: 1067108.750000
DBE	Int. Relativa (%)
4	28.835745
5	15.573527
6	9.223845
7	6.291823
8	7.095822
9	7.821846
10	5.782794
11	4.648759
12	4.642643
13	3.418355
14	2.915703
15	1.850149
16	1.228265
17	0.590797
20	0.079946


#Abundancia relativa do DBE na Classe Heteroatomica O2
#Intensidade total da classe: 3940592.750000
DBE	Int. Relativa (%)
1	11.021672
2	8.360652
3	12.239819
4	13.178642
5	13.111166
6	9.563676
7	6.469334
8	5.894669
9	5.285287
10	4.012416
11	2.906982
12	2.294928
13	1.873604
14	1.414420
15	1.002286
16	0.671320
17	0.556849
18	0.142206


#Abundancia relativa do DBE na Classe Heteroatomica O3
#Intensidade total da classe: 166762.687500
DBE	Int. Relativa (%)
5	24.162962
6	21.891436
7	13.932508
8	9.330379
9	11.549173
10	9.821896
11	5.514224
12	1.767267
13	0.856649
15	1.173501


#Abundancia relativa do DBE na Classe Heteroatomica O4
#Intensidade total da classe: 138101.531250
DBE	Int. Relativa (%)
2	9.742733
3	23.873945
4	29.265873
5	17.733564
6	11.472864
7	6.984168
8	0.459897
9	0.466948


#Abundancia relativa do DBE na Classe Heteroatomica N
#Intensidade total da classe: 1613631.375000
DBE	Int. Relativa (%)
6	1.115480
7	1.130785
8	0.246789
9	7.968999
10	6.393746
11	4.444485
12	12.279219
13	9.721786
14	8.057971
15	11.662071
16	8.396381
17	7.516524
